Trying substitutions to: 3
with goodVertices 1, 2, 4, 5, 6, 7, 8, 9, 11, 12, 15
bad color to improve: 2  11  with index 40
bad color to improve: 2  15  with index 44
bad color to improve: 5  11  with index 76
3 bad colorings on level 1
Solved config  |2, 11| descendents: 
|3, 8, 10, 12, 15 |---| 3, 9, 10, 13, 14|
|3, 3, 3, 3|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|8, 15, 3, 13|---> |2, 5| possibles  |3, 8|
|10, 10, 3, 13|---> |2, 5| possibles  |3, 8|
|10, 12, 3, 13|---> |2, 5| possibles  |3, 8|
|10, 15, 3, 13|---> |2, 5| possibles  |3, 8|
|12, 12, 3, 13|---> |2, 5| possibles  |3, 8|
|12, 15, 3, 13|---> |2, 5| possibles  |3, 8|
|15, 15, 3, 13|---> |1, 5| possibles  |3, 4|
|3, 3, 3, 14|---> |1, 6| possibles  |0, 3, 9|
|3, 8, 3, 14|---> |2, 6| possibles  |3, 10, 12|
|3, 10, 3, 14|---> |2, 6| possibles  |3, 10, 12|
|3, 12, 3, 14|---> |2, 6| possibles  |3, 10, 12|
|3, 15, 3, 14|---> |1, 6| possibles  |0, 3, 9|
|8, 8, 3, 14|---> |2, 6| possibles  |3, 10, 12|
|8, 10, 3, 14|---> |2, 6| possibles  |3, 10, 12|
|8, 12, 3, 14|---> |2, 6| possibles  |3, 10, 12|
|8, 15, 3, 14|---> |2, 6| possibles  |3, 10, 12|
|10, 10, 3, 14|---> |2, 6| possibles  |3, 10, 12|
|10, 12, 3, 14|---> |2, 6| possibles  |3, 10, 12|
|10, 15, 3, 14|---> |2, 6| possibles  |3, 10, 12|
|12, 12, 3, 14|---> |2, 6| possibles  |3, 10, 12|
|12, 15, 3, 14|---> |2, 6| possibles  |3, 10, 12|
|15, 15, 3, 14|---> |1, 6| possibles  |0, 3, 9|
|3, 3, 3, 15|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 9, 3, 15|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 10, 3, 15|---> |1, 2| possibles  |3, 15|
|3, 13, 3, 15|---> |1, 5| possibles  |3, 4|
|3, 14, 3, 15|---> |1, 6| possibles  |0, 3, 9|
|9, 9, 3, 15|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|9, 10, 3, 15|---> |1, 4| possibles  |9|
|9, 13, 3, 15|---> |1, 6| possibles  |0, 3, 9|
|9, 14, 3, 15|---> |1, 4| possibles  |9|
|10, 10, 3, 15|---> |1, 2| possibles  |3, 15|
|10, 13, 3, 15|---> |1, 6| possibles  |0, 3, 9|
|10, 14, 3, 15|---> |1, 4| possibles  |9|
|13, 13, 3, 15|---> |1, 5| possibles  |3, 4|
|13, 14, 3, 15|---> |1, 6| possibles  |0, 3, 9|
|14, 14, 3, 15|---> |1, 4| possibles  |9|
|3, 3, 8, 8|---> |1, 2| possibles  |3, 15|
|3, 9, 8, 8|---> |1, 2| possibles  |3, 15|
|3, 10, 8, 8|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 13, 8, 8|---> |2, 5| possibles  |3, 8|
|3, 14, 8, 8|---> |2, 6| possibles  |3, 10, 12|
|9, 9, 8, 8|---> |1, 2| possibles  |3, 15|
|9, 10, 8, 8|---> |2, 4| possibles  |10, 12|
|9, 13, 8, 8|---> |2, 6| possibles  |3, 10, 12|
|9, 14, 8, 8|---> |2, 4| possibles  |10, 12|
|10, 10, 8, 8|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 13, 8, 8|---> |2, 6| possibles  |3, 10, 12|
|10, 14, 8, 8|---> |2, 4| possibles  |10, 12|
|13, 13, 8, 8|---> |2, 5| possibles  |3, 8|
|13, 14, 8, 8|---> |2, 6| possibles  |3, 10, 12|
|14, 14, 8, 8|---> |2, 4| possibles  |10, 12|
|3, 3, 8, 10|---> |1, 2| possibles  |3, 15|
|3, 9, 8, 10|---> |1, 2| possibles  |3, 15|
|3, 10, 8, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 13, 8, 10|---> |2, 5| possibles  |3, 8|
|3, 14, 8, 10|---> |2, 6| possibles  |3, 10, 12|
|9, 9, 8, 10|---> |1, 2| possibles  |3, 15|
|9, 10, 8, 10|---> |2, 4| possibles  |10, 12|
|9, 13, 8, 10|---> |2, 6| possibles  |3, 10, 12|
|9, 14, 8, 10|---> |2, 4| possibles  |10, 12|
|10, 10, 8, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 13, 8, 10|---> |2, 6| possibles  |3, 10, 12|
|10, 14, 8, 10|---> |2, 4| possibles  |10, 12|
|13, 13, 8, 10|---> |2, 5| possibles  |3, 8|
|13, 14, 8, 10|---> |2, 6| possibles  |3, 10, 12|
|14, 14, 8, 10|---> |2, 4| possibles  |10, 12|
|3, 3, 8, 12|---> |1, 2| possibles  |3, 15|
|3, 9, 8, 12|---> |1, 2| possibles  |3, 15|
|3, 10, 8, 12|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 13, 8, 12|---> |2, 5| possibles  |3, 8|
|3, 14, 8, 12|---> |2, 6| possibles  |3, 10, 12|
|9, 9, 8, 12|---> |1, 2| possibles  |3, 15|
|9, 10, 8, 12|---> |2, 4| possibles  |10, 12|
|9, 13, 8, 12|---> |2, 6| possibles  |3, 10, 12|
|9, 14, 8, 12|---> |2, 4| possibles  |10, 12|
|10, 10, 8, 12|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 13, 8, 12|---> |2, 6| possibles  |3, 10, 12|
|10, 14, 8, 12|---> |2, 4| possibles  |10, 12|
|13, 13, 8, 12|---> |2, 5| possibles  |3, 8|
|13, 14, 8, 12|---> |2, 6| possibles  |3, 10, 12|
|14, 14, 8, 12|---> |2, 4| possibles  |10, 12|
|3, 3, 8, 15|---> |1, 2| possibles  |3, 15|
|3, 9, 8, 15|---> |1, 2| possibles  |3, 15|
|3, 10, 8, 15|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 13, 8, 15|---> |2, 5| possibles  |3, 8|
|3, 14, 8, 15|---> |2, 6| possibles  |3, 10, 12|
|9, 9, 8, 15|---> |1, 2| possibles  |3, 15|
|9, 10, 8, 15|---> |2, 4| possibles  |10, 12|
|9, 13, 8, 15|---> |2, 6| possibles  |3, 10, 12|
|9, 14, 8, 15|---> |2, 4| possibles  |10, 12|
|10, 10, 8, 15|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 13, 8, 15|---> |2, 6| possibles  |3, 10, 12|
|10, 14, 8, 15|---> |2, 4| possibles  |10, 12|
|13, 13, 8, 15|---> |2, 5| possibles  |3, 8|
|13, 14, 8, 15|---> |2, 6| possibles  |3, 10, 12|
|14, 14, 8, 15|---> |2, 4| possibles  |10, 12|
|3, 3, 9, 9|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 8, 9, 9|---> |1, 2| possibles  |3, 15|
|3, 10, 9, 9|---> |1, 2| possibles  |3, 15|
|3, 12, 9, 9|---> |1, 2| possibles  |3, 15|
|3, 15, 9, 9|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|8, 8, 9, 9|---> |1, 2| possibles  |3, 15|
|8, 10, 9, 9|---> |1, 2| possibles  |3, 15|
|8, 12, 9, 9|---> |1, 2| possibles  |3, 15|
|8, 15, 9, 9|---> |1, 2| possibles  |3, 15|
|10, 10, 9, 9|---> |1, 2| possibles  |3, 15|
|10, 12, 9, 9|---> |1, 2| possibles  |3, 15|
|10, 15, 9, 9|---> |1, 2| possibles  |3, 15|
|12, 12, 9, 9|---> |1, 2| possibles  |3, 15|
|12, 15, 9, 9|---> |1, 2| possibles  |3, 15|
|15, 15, 9, 9|---> |1, 1| possibles  |0, 3, 4, 9, 15|
|3, 3, 9, 10|---> |1, 4| possibles  |9|
|3, 8, 9, 10|---> |2, 4| possibles  |10, 12|
|3, 10, 9, 10|---> |2, 4| possibles  |10, 12|
|3, 12, 9, 10|---> |2, 4| possibles  |10, 12|
|3, 15, 9, 10|---> |1, 4| possibles  |9|
|8, 8, 9, 10|---> |2, 4| possibles  |10, 12|
|8, 10, 9, 10|---> |2, 4| possibles  |10, 12|
|8, 12, 9, 10|---> |2, 4| possibles  |10, 12|
|8, 15, 9, 10|---> |2, 4| possibles  |10, 12|
|10, 10, 9, 10|---> |2, 4| possibles  |10, 12|
|10, 12, 9, 10|---> |2, 4| possibles  |10, 12|
|10, 15, 9, 10|---> |2, 4| possibles  |10, 12|
|12, 12, 9, 10|---> |2, 4| possibles  |10, 12|
|12, 15, 9, 10|---> |2, 4| possibles  |10, 12|
|15, 15, 9, 10|---> |1, 4| possibles  |9|
|3, 3, 9, 13|---> |1, 6| possibles  |0, 3, 9|
|3, 8, 9, 13|---> |2, 6| possibles  |3, 10, 12|
|3, 10, 9, 13|---> |2, 6| possibles  |3, 10, 12|
|3, 12, 9, 13|---> |2, 6| possibles  |3, 10, 12|
|3, 15, 9, 13|---> |1, 6| possibles  |0, 3, 9|
|8, 8, 9, 13|---> |2, 6| possibles  |3, 10, 12|
|8, 10, 9, 13|---> |2, 6| possibles  |3, 10, 12|
|8, 12, 9, 13|---> |2, 6| possibles  |3, 10, 12|
|8, 15, 9, 13|---> |2, 6| possibles  |3, 10, 12|
|10, 10, 9, 13|---> |2, 6| possibles  |3, 10, 12|
|10, 12, 9, 13|---> |2, 6| possibles  |3, 10, 12|
|10, 15, 9, 13|---> |2, 6| possibles  |3, 10, 12|
|12, 12, 9, 13|---> |2, 6| possibles  |3, 10, 12|
|12, 15, 9, 13|---> |2, 6| possibles  |3, 10, 12|
|15, 15, 9, 13|---> |1, 6| possibles  |0, 3, 9|
|3, 3, 9, 14|---> |1, 4| possibles  |9|
|3, 8, 9, 14|---> |2, 4| possibles  |10, 12|
|3, 10, 9, 14|---> |2, 4| possibles  |10, 12|
|3, 12, 9, 14|---> |2, 4| possibles  |10, 12|
|3, 15, 9, 14|---> |1, 4| possibles  |9|
|8, 8, 9, 14|---> |2, 4| possibles  |10, 12|
|8, 10, 9, 14|---> |2, 4| possibles  |10, 12|
|8, 12, 9, 14|---> |2, 4| possibles  |10, 12|
|8, 15, 9, 14|---> |2, 4| possibles  |10, 12|
|10, 10, 9, 14|---> |2, 4| possibles  |10, 12|
|10, 12, 9, 14|---> |2, 4| possibles  |10, 12|
|10, 15, 9, 14|---> |2, 4| possibles  |10, 12|
|12, 12, 9, 14|---> |2, 4| possibles  |10, 12|
|12, 15, 9, 14|---> |2, 4| possibles  |10, 12|
|15, 15, 9, 14|---> |1, 4| possibles  |9|
|3, 3, 10, 10|---> |1, 2| possibles  |3, 15|
|3, 3, 10, 10|---> |1, 2| possibles  |3, 15|
|3, 8, 10, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 9, 10, 10|---> |1, 2| possibles  |3, 15|
|3, 10, 10, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 10, 10, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 12, 10, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 13, 10, 10|---> |2, 5| possibles  |3, 8|
|3, 14, 10, 10|---> |2, 6| possibles  |3, 10, 12|
|3, 15, 10, 10|---> |1, 2| possibles  |3, 15|
|8, 8, 10, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|8, 10, 10, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|8, 12, 10, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|8, 15, 10, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|9, 9, 10, 10|---> |1, 2| possibles  |3, 15|
|9, 10, 10, 10|---> |2, 4| possibles  |10, 12|
|9, 13, 10, 10|---> |2, 6| possibles  |3, 10, 12|
|9, 14, 10, 10|---> |2, 4| possibles  |10, 12|
|10, 10, 10, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 10, 10, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 12, 10, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 13, 10, 10|---> |2, 6| possibles  |3, 10, 12|
|10, 14, 10, 10|---> |2, 4| possibles  |10, 12|
|10, 15, 10, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|12, 12, 10, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|12, 15, 10, 10|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|13, 13, 10, 10|---> |2, 5| possibles  |3, 8|
|13, 14, 10, 10|---> |2, 6| possibles  |3, 10, 12|
|14, 14, 10, 10|---> |2, 4| possibles  |10, 12|
|15, 15, 10, 10|---> |1, 2| possibles  |3, 15|
|3, 3, 10, 12|---> |1, 2| possibles  |3, 15|
|3, 9, 10, 12|---> |1, 2| possibles  |3, 15|
|3, 10, 10, 12|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 13, 10, 12|---> |2, 5| possibles  |3, 8|
|3, 14, 10, 12|---> |2, 6| possibles  |3, 10, 12|
|9, 9, 10, 12|---> |1, 2| possibles  |3, 15|
|9, 10, 10, 12|---> |2, 4| possibles  |10, 12|
|9, 13, 10, 12|---> |2, 6| possibles  |3, 10, 12|
|9, 14, 10, 12|---> |2, 4| possibles  |10, 12|
|10, 10, 10, 12|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 13, 10, 12|---> |2, 6| possibles  |3, 10, 12|
|10, 14, 10, 12|---> |2, 4| possibles  |10, 12|
|13, 13, 10, 12|---> |2, 5| possibles  |3, 8|
|13, 14, 10, 12|---> |2, 6| possibles  |3, 10, 12|
|14, 14, 10, 12|---> |2, 4| possibles  |10, 12|
|3, 3, 10, 13|---> |1, 6| possibles  |0, 3, 9|
|3, 8, 10, 13|---> |2, 6| possibles  |3, 10, 12|
|3, 10, 10, 13|---> |2, 6| possibles  |3, 10, 12|
|3, 12, 10, 13|---> |2, 6| possibles  |3, 10, 12|
|3, 15, 10, 13|---> |1, 6| possibles  |0, 3, 9|
|8, 8, 10, 13|---> |2, 6| possibles  |3, 10, 12|
|8, 10, 10, 13|---> |2, 6| possibles  |3, 10, 12|
|8, 12, 10, 13|---> |2, 6| possibles  |3, 10, 12|
|8, 15, 10, 13|---> |2, 6| possibles  |3, 10, 12|
|10, 10, 10, 13|---> |2, 6| possibles  |3, 10, 12|
|10, 12, 10, 13|---> |2, 6| possibles  |3, 10, 12|
|10, 15, 10, 13|---> |2, 6| possibles  |3, 10, 12|
|12, 12, 10, 13|---> |2, 6| possibles  |3, 10, 12|
|12, 15, 10, 13|---> |2, 6| possibles  |3, 10, 12|
|15, 15, 10, 13|---> |1, 6| possibles  |0, 3, 9|
|3, 3, 10, 14|---> |1, 4| possibles  |9|
|3, 8, 10, 14|---> |2, 4| possibles  |10, 12|
|3, 10, 10, 14|---> |2, 4| possibles  |10, 12|
|3, 12, 10, 14|---> |2, 4| possibles  |10, 12|
|3, 15, 10, 14|---> |1, 4| possibles  |9|
|8, 8, 10, 14|---> |2, 4| possibles  |10, 12|
|8, 10, 10, 14|---> |2, 4| possibles  |10, 12|
|8, 12, 10, 14|---> |2, 4| possibles  |10, 12|
|8, 15, 10, 14|---> |2, 4| possibles  |10, 12|
|10, 10, 10, 14|---> |2, 4| possibles  |10, 12|
|10, 12, 10, 14|---> |2, 4| possibles  |10, 12|
|10, 15, 10, 14|---> |2, 4| possibles  |10, 12|
|12, 12, 10, 14|---> |2, 4| possibles  |10, 12|
|12, 15, 10, 14|---> |2, 4| possibles  |10, 12|
|15, 15, 10, 14|---> |1, 4| possibles  |9|
|3, 3, 10, 15|---> |1, 2| possibles  |3, 15|
|3, 9, 10, 15|---> |1, 2| possibles  |3, 15|
|3, 10, 10, 15|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 13, 10, 15|---> |2, 5| possibles  |3, 8|
|3, 14, 10, 15|---> |2, 6| possibles  |3, 10, 12|
|9, 9, 10, 15|---> |1, 2| possibles  |3, 15|
|9, 10, 10, 15|---> |2, 4| possibles  |10, 12|
|9, 13, 10, 15|---> |2, 6| possibles  |3, 10, 12|
|9, 14, 10, 15|---> |2, 4| possibles  |10, 12|
|10, 10, 10, 15|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 13, 10, 15|---> |2, 6| possibles  |3, 10, 12|
|10, 14, 10, 15|---> |2, 4| possibles  |10, 12|
|13, 13, 10, 15|---> |2, 5| possibles  |3, 8|
|13, 14, 10, 15|---> |2, 6| possibles  |3, 10, 12|
|14, 14, 10, 15|---> |2, 4| possibles  |10, 12|
|3, 3, 12, 12|---> |1, 2| possibles  |3, 15|
|3, 9, 12, 12|---> |1, 2| possibles  |3, 15|
|3, 10, 12, 12|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 13, 12, 12|---> |2, 5| possibles  |3, 8|
|3, 14, 12, 12|---> |2, 6| possibles  |3, 10, 12|
|9, 9, 12, 12|---> |1, 2| possibles  |3, 15|
|9, 10, 12, 12|---> |2, 4| possibles  |10, 12|
|9, 13, 12, 12|---> |2, 6| possibles  |3, 10, 12|
|9, 14, 12, 12|---> |2, 4| possibles  |10, 12|
|10, 10, 12, 12|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 13, 12, 12|---> |2, 6| possibles  |3, 10, 12|
|10, 14, 12, 12|---> |2, 4| possibles  |10, 12|
|13, 13, 12, 12|---> |2, 5| possibles  |3, 8|
|13, 14, 12, 12|---> |2, 6| possibles  |3, 10, 12|
|14, 14, 12, 12|---> |2, 4| possibles  |10, 12|
|3, 3, 12, 15|---> |1, 2| possibles  |3, 15|
|3, 9, 12, 15|---> |1, 2| possibles  |3, 15|
|3, 10, 12, 15|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|3, 13, 12, 15|---> |2, 5| possibles  |3, 8|
|3, 14, 12, 15|---> |2, 6| possibles  |3, 10, 12|
|9, 9, 12, 15|---> |1, 2| possibles  |3, 15|
|9, 10, 12, 15|---> |2, 4| possibles  |10, 12|
|9, 13, 12, 15|---> |2, 6| possibles  |3, 10, 12|
|9, 14, 12, 15|---> |2, 4| possibles  |10, 12|
|10, 10, 12, 15|---> |2, 2| possibles  |3, 8, 10, 12, 15|
|10, 13, 12, 15|---> |2, 6| possibles  |3, 10, 12|
|10, 14, 12, 15|---> |2, 4| possibles  |10, 12|
|13, 13, 12, 15|---> |2, 5| possibles  |3, 8|
|13, 14, 12, 15|---> |2, 6| possibles  |3, 10, 12|
|14, 14, 12, 15|---> |2, 4| possibles  |10, 12|
|3, 3, 13, 13|---> |1, 5| possibles  |3, 4|
|3, 8, 13, 13|---> |2, 5| possibles  |3, 8|
|3, 10, 13, 13|---> |2, 5| possibles  |3, 8|
|3, 12, 13, 13|---> |2, 5| possibles  |3, 8|
|3, 15, 13, 13|---> |1, 5| possibles  |3, 4|
|8, 8, 13, 13|---> |2, 5| possibles  |3, 8|
|8, 10, 13, 13|---> |2, 5| possibles  |3, 8|
|8, 12, 13, 13|---> |2, 5| possibles  |3, 8|
|8, 15, 13, 13|---> |2, 5| possibles  |3, 8|
|10, 10, 13, 13|---> |2, 5| possibles  |3, 8|
|10, 12, 13, 13|---> |2, 5| possibles  |3, 8|
|10, 15, 13, 13|---> |2, 5| possibles  |3, 8|
|12, 12, 13, 13|---> |2, 5| possibles  |3, 8|
|12, 15, 13, 13|---> |2, 5| possibles  |3, 8|
|15, 15, 13, 13|---> |1, 5| possibles  |3, 4|
|3, 3, 13, 14|---> |1, 6| possibles  |0, 3, 9|
|3, 8, 13, 14|---> |2, 6| possibles  |3, 10, 12|
|3, 10, 13, 14|---> |2, 6| possibles  |3, 10, 12|
|3, 12, 13, 14|---> |2, 6| possibles  |3, 10, 12|
|3, 15, 13, 14|---> |1, 6| possibles  |0, 3, 9|
|8, 8, 13, 14|---> |2, 6| possibles  |3, 10, 12|
|8, 10, 13, 14|---> |2, 6| possibles  |3, 10, 12|
